Materiale,Modulo_Young_MPa,Snervamento_MPa,Spessore_mm,Cava_V_mm,Raggio_Punzone_mm,Raggio_Matrice_mm,Angolo_Desiderato_deg,Corsa_Punzione_mm
Acciaio_Mite_S235,207894.5,221.4,6.0,50,1.5,1.5,130.78,10.581
Acciaio_Inox_304,190645.2,292.9,1.4,12,1.5,2.0,93.08,3.767
Alluminio_6061_T6,69680.2,288.9,4.9,40,1.5,3.0,133.92,7.617
Alluminio_5052_H32,69845.6,207.4,2.0,16,3.0,2.0,122.22,3.474
Acciaio_Mite_S235,211803.7,213.4,2.1,16,0.8,1.0,99.23,5.59
Alluminio_5052_H32,70891.4,175.7,2.3,20,2.0,3.0,142.39,2.946
Acciaio_Mite_S235,207272.6,221.4,2.4,20,2.0,1.5,80.26,8.519
Acciaio_Mite_S235,203320.8,233.5,5.1,40,0.8,1.0,130.09,8.692
Acciaio_Mite_S235,206340.1,256.5,2.4,20,2.0,1.0,81.58,8.797
Alluminio_6061_T6,69352.0,270.2,2.1,16,3.0,2.0,97.25,4.624
Acciaio_Mite_S235,205844.5,235.9,7.7,60,0.8,2.0,144.59,8.996
Alluminio_5052_H32,70866.6,189.0,2.6,20,4.0,3.0,137.33,3.363
Alluminio_6061_T6,69230.3,266.1,6.6,50,3.0,1.0,81.87,23.275
Alluminio_5052_H32,71766.6,184.6,2.0,16,1.0,1.0,116.48,4.182
Alluminio_6061_T6,69248.9,304.5,5.2,40,1.0,1.5,100.58,14.333
Alluminio_5052_H32,71461.1,192.4,6.7,50,3.0,1.5,85.3,21.715
Alluminio_5052_H32,68042.1,186.2,1.6,12,4.0,1.5,139.23,1.641
Alluminio_5052_H32,72305.8,194.2,2.3,20,1.0,1.0,95.48,7.559
Alluminio_6061_T6,69628.7,255.5,3.2,24,4.0,1.5,133.98,4.307
Alluminio_6061_T6,68820.7,272.7,7.8,60,0.8,1.5,150.11,7.601
Acciaio_Inox_304,200837.8,283.8,6.9,60,3.0,1.0,96.57,23.032
Alluminio_5052_H32,68032.7,190.7,1.6,12,1.5,3.0,148.75,1.388
Alluminio_6061_T6,68725.9,275.8,4.9,40,2.0,2.0,124.44,9.384
Alluminio_5052_H32,70155.9,176.1,1.5,12,4.0,1.5,101.84,2.739
Alluminio_5052_H32,69575.6,213.3,7.1,60,1.5,2.0,159.64,5.247
Acciaio_Inox_304,192777.3,301.7,6.3,50,0.8,3.0,123.49,12.369
Acciaio_Mite_S235,210931.9,228.5,2.5,20,4.0,3.0,92.62,5.898
Alluminio_5052_H32,68715.3,185.5,4.5,32,0.8,2.0,109.23,9.661
Alluminio_5052_H32,69834.9,186.8,7.7,60,1.0,2.0,101.42,21.346
Acciaio_Inox_304,194564.3,296.5,6.6,50,1.5,1.0,119.61,13.0
Alluminio_5052_H32,71047.3,184.2,7.8,60,4.0,1.5,153.6,6.765
Alluminio_6061_T6,69325.0,259.0,5.9,50,3.0,1.5,116.79,13.504
Acciaio_Inox_304,189244.4,311.4,2.4,20,3.0,3.0,98.46,5.924
Acciaio_Inox_304,190989.3,311.5,7.0,60,1.0,1.5,156.73,6.033
Alluminio_5052_H32,70590.5,203.6,6.5,50,4.0,2.0,84.8,21.267
Acciaio_Mite_S235,211723.2,215.2,7.8,60,4.0,1.0,136.02,11.148
Alluminio_5052_H32,70742.7,189.1,5.2,40,1.5,1.0,88.79,17.116
Acciaio_Mite_S235,207484.1,230.0,5.8,50,2.0,1.0,96.34,19.343
Acciaio_Mite_S235,205437.0,244.6,3.1,24,1.0,3.0,148.34,3.034
Alluminio_6061_T6,70880.0,274.4,4.7,40,2.0,1.5,92.9,15.882
Alluminio_5052_H32,68452.6,198.7,4.1,32,0.8,3.0,113.77,8.982
Acciaio_Mite_S235,212480.9,235.5,7.6,60,2.0,1.5,94.72,23.603
Alluminio_6061_T6,69553.5,264.2,4.9,40,1.5,1.0,118.87,10.664
Acciaio_Mite_S235,205855.1,240.4,3.4,24,1.0,1.0,104.65,7.853
Acciaio_Inox_304,192115.0,284.1,7.7,60,1.5,3.0,156.48,6.012
Acciaio_Mite_S235,210880.1,235.6,3.0,24,2.0,3.0,83.73,9.303
Acciaio_Inox_304,186109.2,274.4,6.1,50,1.0,1.5,127.08,11.384
Alluminio_5052_H32,71628.5,192.0,6.6,50,1.0,2.0,133.93,9.851
Alluminio_6061_T6,70440.8,296.7,4.5,32,0.8,1.0,129.23,6.983
Alluminio_5052_H32,70377.6,219.4,6.4,50,2.0,3.0,116.93,13.263
Alluminio_5052_H32,69812.3,195.8,1.6,12,4.0,3.0,98.2,2.425
Acciaio_Mite_S235,207719.8,216.3,7.3,60,0.8,3.0,96.69,22.93
Acciaio_Inox_304,195026.8,252.3,7.9,60,2.0,1.0,138.86,10.561
Acciaio_Mite_S235,206386.9,246.1,6.7,50,1.5,2.0,136.09,9.187
Alluminio_6061_T6,70177.6,273.8,2.5,20,2.0,1.0,124.79,4.472
Acciaio_Inox_304,193212.1,293.5,6.1,50,1.5,1.5,152.96,5.624
Acciaio_Mite_S235,204073.0,250.3,6.7,50,2.0,3.0,101.14,17.155
Alluminio_6061_T6,69670.7,290.4,5.2,40,3.0,1.0,116.06,10.901
Alluminio_5052_H32,72044.5,199.1,4.6,40,2.0,3.0,102.59,13.241
Alluminio_5052_H32,69774.8,185.9,3.1,24,1.5,3.0,156.74,2.326
Alluminio_5052_H32,70879.7,190.3,6.3,50,1.0,3.0,152.9,5.661
Alluminio_6061_T6,69116.2,261.9,5.4,40,0.8,3.0,124.87,9.279
Acciaio_Inox_304,195009.2,281.2,3.6,32,3.0,1.5,81.77,14.284
Alluminio_5052_H32,70410.7,203.1,2.1,16,3.0,2.0,128.8,3.045
Acciaio_Inox_304,194618.7,274.6,3.6,32,2.0,1.5,122.15,7.832
Acciaio_Mite_S235,215979.4,220.4,5.1,40,1.0,2.0,108.86,12.458
Alluminio_6061_T6,69419.1,277.0,3.9,32,2.0,3.0,93.04,11.764
Alluminio_6061_T6,68670.1,280.7,7.6,60,2.0,1.0,82.09,28.89
Alluminio_6061_T6,71764.2,295.6,5.1,40,2.0,2.0,93.35,15.389
Alluminio_5052_H32,67980.8,192.7,6.2,50,2.0,1.5,132.87,10.093
Alluminio_6061_T6,70978.3,237.8,6.7,50,1.0,1.0,117.46,13.72
Alluminio_5052_H32,70134.9,185.1,3.8,32,4.0,3.0,115.43,8.141
Alluminio_5052_H32,71770.5,204.0,3.4,24,0.8,2.0,137.43,4.228
Acciaio_Mite_S235,217646.3,256.7,3.4,24,4.0,2.0,116.12,5.651
Alluminio_5052_H32,69871.7,194.3,2.8,24,1.0,3.0,151.81,2.859
Alluminio_5052_H32,69535.9,196.9,7.2,60,3.0,2.0,98.77,21.888
Acciaio_Inox_304,188583.4,252.7,7.5,60,0.8,1.0,125.79,14.294
Acciaio_Inox_304,201527.9,277.7,4.3,32,2.0,2.0,143.35,4.738
Acciaio_Inox_304,194783.4,312.2,2.5,20,1.0,3.0,142.12,3.036
Alluminio_6061_T6,69846.1,287.0,6.3,50,1.0,1.5,105.2,16.868
Alluminio_5052_H32,69905.1,201.5,7.6,60,1.5,1.5,153.03,6.891
Acciaio_Inox_304,184959.6,290.9,1.5,12,4.0,2.0,153.71,1.248
Alluminio_5052_H32,70470.0,196.8,7.8,60,4.0,1.5,112.73,17.361
Alluminio_5052_H32,67721.6,197.5,5.0,40,3.0,2.0,139.69,6.81
Acciaio_Inox_304,194360.0,291.4,5.1,40,1.0,2.0,140.55,6.756
Acciaio_Inox_304,187840.3,265.3,3.2,24,2.0,3.0,99.1,7.682
Alluminio_5052_H32,70178.8,188.9,3.4,24,0.8,1.5,100.57,8.327
Alluminio_6061_T6,67597.1,278.1,4.5,32,0.8,2.0,131.2,6.423
Acciaio_Inox_304,188914.8,276.6,5.0,40,1.5,1.5,100.0,14.317
Acciaio_Inox_304,204347.3,300.4,3.4,24,1.0,2.0,118.15,6.202
Alluminio_6061_T6,69897.3,269.2,3.8,32,0.8,1.0,142.76,5.029
Alluminio_5052_H32,67715.8,201.7,1.9,16,4.0,1.0,113.33,4.077
Alluminio_6061_T6,70322.5,271.3,5.6,40,4.0,1.5,150.17,5.052
Alluminio_5052_H32,71444.3,192.0,7.6,60,1.0,1.5,115.15,17.146
Acciaio_Inox_304,191837.4,288.3,3.4,24,3.0,1.5,156.29,2.421
Acciaio_Inox_304,194568.1,281.0,2.4,20,1.5,1.5,80.49,8.884
Acciaio_Inox_304,192992.0,298.1,4.1,32,2.0,2.0,99.23,11.078
Acciaio_Mite_S235,213674.0,235.8,4.2,32,0.8,3.0,81.53,14.273
Alluminio_6061_T6,67464.5,268.7,7.5,60,3.0,1.0,126.58,13.716
Alluminio_6061_T6,66307.8,263.8,1.3,10,2.0,1.0,91.5,3.198
Alluminio_6061_T6,68260.2,272.5,6.7,50,0.8,3.0,103.05,16.96
Acciaio_Mite_S235,205244.0,238.1,6.1,50,2.0,2.0,151.68,6.186
Acciaio_Mite_S235,208478.0,241.9,7.4,60,2.0,3.0,144.88,8.784
Alluminio_5052_H32,71549.0,216.3,4.4,32,1.0,3.0,136.45,5.672
Acciaio_Mite_S235,204694.4,243.8,3.5,24,2.0,1.5,154.47,2.452
Acciaio_Inox_304,196809.4,286.8,2.1,16,0.8,3.0,92.28,5.343
Alluminio_5052_H32,73379.9,185.7,2.5,20,2.0,1.5,124.06,4.489
Acciaio_Inox_304,200023.1,319.7,2.2,16,2.0,3.0,84.42,5.428
Acciaio_Inox_304,192873.2,309.6,1.5,12,1.5,2.0,131.85,2.112
Alluminio_5052_H32,72369.4,175.2,1.8,16,3.0,1.5,114.99,3.971
Acciaio_Mite_S235,212274.6,236.2,3.0,24,4.0,2.0,147.73,3.064
Acciaio_Mite_S235,203511.0,207.0,1.4,12,1.0,1.5,151.37,1.351
Acciaio_Mite_S235,207584.6,216.7,8.0,60,4.0,1.0,134.69,11.421
Acciaio_Inox_304,192423.2,316.5,4.2,32,0.8,1.0,126.09,7.42
Acciaio_Inox_304,194364.8,312.2,4.0,32,4.0,3.0,151.7,3.781
Alluminio_5052_H32,67396.3,199.4,5.9,50,4.0,3.0,119.64,12.544
Acciaio_Inox_304,196900.1,296.7,3.3,24,1.5,2.0,91.78,8.892
Alluminio_5052_H32,70212.9,200.1,5.3,40,3.0,1.5,86.72,16.727
Alluminio_5052_H32,69872.7,182.0,6.7,50,4.0,1.0,101.16,17.258
Acciaio_Inox_304,194118.0,279.3,1.6,12,4.0,2.0,151.82,1.232
Alluminio_6061_T6,70987.5,259.6,3.0,24,1.0,2.0,99.0,8.434
Acciaio_Mite_S235,215684.0,227.4,3.5,24,1.0,3.0,148.46,3.028
Alluminio_5052_H32,71169.6,184.1,2.7,20,1.5,3.0,145.83,2.84
Alluminio_5052_H32,69759.0,190.7,5.5,40,1.0,3.0,98.97,13.993
Alluminio_6061_T6,69981.3,274.2,6.8,50,3.0,3.0,142.54,7.698
Acciaio_Mite_S235,210115.0,217.2,6.9,60,1.5,1.0,131.82,12.416
Alluminio_6061_T6,68498.8,265.4,3.3,24,4.0,1.0,107.31,6.938
Acciaio_Mite_S235,209400.2,231.3,2.5,20,1.0,1.0,109.39,6.069
Acciaio_Mite_S235,204849.3,238.8,1.8,16,2.0,3.0,123.2,3.467
Acciaio_Mite_S235,210139.8,225.6,3.9,32,3.0,1.5,99.2,10.94
Alluminio_6061_T6,70385.5,270.8,3.8,32,2.0,2.0,109.18,9.618
Acciaio_Mite_S235,198275.6,237.1,3.4,24,2.0,1.0,93.04,9.02
Alluminio_5052_H32,71913.7,202.7,6.8,50,0.8,3.0,118.86,12.903
Acciaio_Mite_S235,208695.3,236.2,7.7,60,2.0,2.0,138.79,10.572
Acciaio_Mite_S235,208672.2,234.2,2.3,20,1.5,1.5,100.04,6.686
Acciaio_Inox_304,187528.6,286.5,3.3,24,1.0,2.0,128.51,5.125
Alluminio_6061_T6,71602.3,284.2,6.9,60,4.0,3.0,147.32,8.201
Alluminio_5052_H32,71029.5,167.9,6.0,50,3.0,3.0,124.71,11.648
Alluminio_5052_H32,72635.7,201.4,6.1,50,3.0,1.0,141.37,8.288
Alluminio_5052_H32,69709.4,196.5,4.2,32,1.5,2.0,141.94,4.988
Acciaio_Inox_304,199780.4,292.5,6.6,50,3.0,1.0,125.44,11.455
Alluminio_6061_T6,70887.6,255.9,4.2,32,4.0,3.0,118.13,7.69
Acciaio_Mite_S235,203413.6,234.1,3.1,24,1.5,1.0,98.39,8.543
Acciaio_Inox_304,197594.1,309.6,3.8,32,4.0,3.0,149.9,3.887
Acciaio_Mite_S235,216646.5,233.9,8.0,60,2.0,3.0,94.07,23.184
Acciaio_Mite_S235,209243.8,224.5,4.5,32,1.5,1.5,155.7,3.246
Acciaio_Inox_304,186932.9,303.4,1.1,8,1.5,1.5,89.43,2.237
Alluminio_5052_H32,71777.1,206.8,6.0,50,4.0,1.5,118.6,12.891
Alluminio_6061_T6,64025.5,285.9,3.8,32,4.0,1.0,82.28,13.681
Acciaio_Mite_S235,211267.0,229.9,6.9,60,2.0,2.0,124.71,14.38
Acciaio_Inox_304,192091.6,282.7,5.2,40,2.0,3.0,115.79,10.661
Alluminio_6061_T6,70365.7,255.9,6.2,50,0.8,3.0,126.4,11.507
Alluminio_6061_T6,68008.4,284.6,5.8,50,1.5,2.0,126.62,11.404
Acciaio_Mite_S235,213199.8,213.1,7.2,60,4.0,1.0,144.28,9.008
Alluminio_6061_T6,69650.1,288.4,6.9,60,1.0,3.0,99.98,21.851
Acciaio_Mite_S235,211763.1,245.9,4.4,32,0.8,3.0,127.94,6.858
Acciaio_Inox_304,184791.0,292.8,1.5,12,1.5,3.0,115.07,2.519
Acciaio_Inox_304,190568.8,299.0,3.6,32,1.5,3.0,101.55,10.576
Acciaio_Mite_S235,209801.1,240.9,7.6,60,0.8,2.0,96.79,23.108
Acciaio_Inox_304,199804.8,289.2,7.7,60,0.8,1.5,130.39,12.823
Alluminio_6061_T6,68141.1,284.9,7.0,60,2.0,2.0,139.37,10.461
Alluminio_6061_T6,68410.6,299.3,3.5,24,2.0,3.0,119.35,5.709
Acciaio_Inox_304,196306.4,282.8,1.2,10,2.0,1.0,91.23,3.169
Alluminio_5052_H32,70539.6,207.5,1.1,8,2.0,1.5,134.96,1.33
Acciaio_Inox_304,199142.8,281.3,4.5,32,3.0,2.0,89.99,12.051
Alluminio_5052_H32,67435.4,199.7,2.1,16,1.5,2.0,155.27,1.493
Acciaio_Inox_304,188867.0,295.3,2.7,20,1.0,3.0,131.6,3.798
Alluminio_5052_H32,71695.7,187.9,6.1,50,3.0,1.5,132.29,9.989
Acciaio_Mite_S235,204509.6,247.9,1.3,10,2.0,1.0,100.52,2.897
Acciaio_Mite_S235,212751.0,239.4,7.1,60,4.0,2.0,142.31,9.351
Alluminio_5052_H32,69317.3,204.1,4.9,40,3.0,1.5,97.45,14.396
Acciaio_Inox_304,194110.3,310.6,5.5,40,3.0,1.5,124.34,9.17
Alluminio_6061_T6,69230.7,278.8,6.2,50,1.0,1.0,91.22,21.214
Alluminio_5052_H32,71036.2,196.3,2.4,20,1.0,3.0,130.66,3.993
Alluminio_6061_T6,68846.6,283.8,1.8,16,4.0,1.5,133.47,2.911
Alluminio_5052_H32,70161.8,188.6,3.4,24,3.0,3.0,88.2,8.283
Alluminio_5052_H32,69409.8,199.4,6.2,50,0.8,1.5,136.12,9.34
Acciaio_Mite_S235,211393.6,232.4,3.4,24,4.0,1.0,107.18,6.621
Acciaio_Mite_S235,207251.5,238.7,2.4,20,0.8,3.0,97.02,6.653
Alluminio_5052_H32,69550.1,193.4,1.8,16,4.0,1.0,115.33,3.61
Alluminio_6061_T6,67980.1,280.8,5.8,50,4.0,2.0,145.5,7.185
Alluminio_5052_H32,69168.2,194.3,1.9,16,2.0,1.5,83.02,6.326
Acciaio_Inox_304,193629.8,301.9,6.3,50,1.0,3.0,125.72,11.627
Acciaio_Inox_304,194621.9,303.9,2.9,24,4.0,1.5,91.81,8.211
Acciaio_Inox_304,186818.1,270.4,3.6,32,2.0,1.0,125.37,7.541
Acciaio_Inox_304,195488.2,293.5,2.1,16,0.8,3.0,122.05,3.64
Acciaio_Mite_S235,219536.5,251.9,7.9,60,2.0,2.0,148.95,7.862
Alluminio_5052_H32,71658.7,211.4,3.9,32,3.0,2.0,127.0,7.021
Alluminio_5052_H32,70881.6,196.5,3.6,32,3.0,1.0,139.45,5.426
Alluminio_6061_T6,70453.0,291.5,5.0,40,2.0,3.0,149.37,5.158
Alluminio_6061_T6,69892.5,280.9,7.3,60,1.0,1.5,157.09,5.772
Alluminio_5052_H32,69473.7,194.1,3.1,24,1.5,2.0,94.82,8.771
Acciaio_Inox_304,194404.1,299.3,3.1,24,1.5,1.5,152.59,2.764
Acciaio_Inox_304,192855.4,260.7,4.7,40,4.0,1.0,86.76,16.726
Alluminio_6061_T6,69081.3,263.4,6.4,50,3.0,1.0,135.03,9.532
Acciaio_Mite_S235,210594.2,232.8,5.2,40,4.0,3.0,109.08,11.52
Alluminio_6061_T6,69790.7,245.6,3.3,24,1.0,2.0,107.45,7.338
Acciaio_Mite_S235,211334.9,230.7,6.6,50,1.5,3.0,82.31,22.805
Acciaio_Mite_S235,202321.2,216.6,2.0,16,2.0,3.0,154.07,1.556
Alluminio_6061_T6,68179.9,247.9,4.9,40,0.8,2.0,82.67,18.718
Acciaio_Mite_S235,214031.5,234.4,7.2,60,2.0,3.0,87.93,25.746
Acciaio_Mite_S235,215137.3,228.4,2.8,24,1.0,3.0,104.06,7.527
Acciaio_Mite_S235,219766.1,248.8,1.4,12,4.0,1.0,136.02,2.194
Alluminio_6061_T6,67818.6,274.0,5.8,50,1.5,1.0,91.55,21.02
Alluminio_5052_H32,69558.4,198.0,2.6,20,1.5,2.0,148.52,2.454
Acciaio_Inox_304,191922.6,297.7,7.7,60,0.8,1.0,158.97,5.491
Acciaio_Mite_S235,204828.0,245.0,4.8,40,4.0,1.5,145.25,5.643
Alluminio_5052_H32,70381.2,203.0,4.5,32,2.0,3.0,87.83,12.458
Acciaio_Inox_304,192244.0,305.7,6.6,50,1.5,2.0,101.25,17.729
Alluminio_6061_T6,68957.9,296.1,2.4,20,3.0,3.0,140.49,3.08
Alluminio_6061_T6,68327.9,277.6,6.5,50,1.0,1.0,123.02,12.424
Acciaio_Inox_304,192473.2,285.3,5.2,40,0.8,3.0,106.41,12.857
Alluminio_5052_H32,70082.9,202.3,4.7,40,1.5,3.0,119.19,10.169
Acciaio_Mite_S235,208106.9,233.4,6.6,50,0.8,2.0,147.71,6.833
Acciaio_Inox_304,196195.7,276.5,7.2,60,4.0,1.0,99.29,21.563
Alluminio_6061_T6,68015.2,266.1,4.7,40,2.0,2.0,97.01,14.85
Alluminio_6061_T6,68645.6,270.8,5.0,40,3.0,1.5,119.46,10.067
Acciaio_Mite_S235,212844.4,263.5,6.7,50,1.5,1.0,127.73,11.13
Acciaio_Inox_304,188916.0,279.8,4.3,32,1.0,1.0,123.87,7.573
Acciaio_Mite_S235,204154.8,229.3,5.7,50,3.0,2.0,146.94,6.924
Alluminio_5052_H32,67701.8,188.1,3.8,32,0.8,2.0,118.2,8.58
Acciaio_Mite_S235,203696.1,243.2,3.5,24,2.0,2.0,86.33,9.317
Alluminio_6061_T6,72186.8,253.3,3.0,24,2.0,1.5,112.82,6.777
Acciaio_Inox_304,186357.7,285.0,1.5,12,3.0,3.0,150.88,1.164
Acciaio_Mite_S235,204958.4,216.1,7.1,60,2.0,2.0,140.5,10.055
Acciaio_Inox_304,190018.3,278.6,5.7,50,0.8,3.0,153.32,5.722
Alluminio_5052_H32,72322.7,187.1,5.8,50,3.0,1.5,134.2,9.757
Alluminio_5052_H32,70855.6,177.6,3.5,24,1.0,2.0,129.34,5.044
Acciaio_Mite_S235,207253.8,232.6,3.2,24,3.0,1.5,98.18,7.972
Acciaio_Inox_304,193704.6,298.2,5.8,50,0.8,2.0,83.65,23.697
Acciaio_Mite_S235,208288.9,242.1,5.0,40,1.5,3.0,139.89,6.657
Alluminio_6061_T6,67452.0,290.9,1.2,10,3.0,3.0,140.71,1.271
Alluminio_5052_H32,67420.2,179.0,4.9,40,0.8,3.0,149.88,5.123
Alluminio_5052_H32,69520.3,198.2,3.5,24,1.5,2.0,86.02,9.657
Acciaio_Mite_S235,205100.2,220.4,6.8,50,0.8,2.0,124.37,12.013
Acciaio_Mite_S235,215096.2,211.0,7.3,60,1.0,1.0,99.34,22.555
Acciaio_Mite_S235,215851.7,248.9,3.9,32,0.8,1.5,142.84,5.011
Alluminio_6061_T6,70899.9,269.1,1.3,10,3.0,1.5,135.7,1.591
Alluminio_6061_T6,69831.8,261.2,5.8,50,4.0,2.0,114.4,13.945
Acciaio_Inox_304,192146.0,290.1,4.8,40,2.0,3.0,138.6,6.968
Acciaio_Inox_304,197189.4,298.2,5.9,50,3.0,3.0,129.49,10.543
Acciaio_Mite_S235,203498.2,229.9,2.1,16,4.0,1.0,104.82,4.352
Acciaio_Mite_S235,216060.4,211.2,6.6,50,4.0,1.5,150.48,6.089
Alluminio_6061_T6,69045.1,297.7,2.2,16,4.0,1.0,157.78,1.618
Alluminio_5052_H32,69624.9,215.5,6.1,50,3.0,1.0,102.37,17.204
Alluminio_6061_T6,70574.7,288.8,4.2,32,3.0,3.0,149.94,3.867
Alluminio_5052_H32,69583.7,204.4,7.2,60,1.0,2.0,116.24,16.88
Acciaio_Mite_S235,208694.3,227.3,6.5,50,1.0,1.0,89.89,21.473
Acciaio_Mite_S235,209074.9,240.3,4.5,32,3.0,3.0,113.31,8.491
Alluminio_6061_T6,68452.9,272.5,7.4,60,1.0,1.5,81.13,29.621
Alluminio_5052_H32,70473.4,191.9,6.3,50,1.5,3.0,126.62,11.316
Alluminio_5052_H32,69175.7,194.6,7.3,60,0.8,1.0,87.33,27.315
Acciaio_Mite_S235,214267.9,228.3,7.8,60,1.5,3.0,83.83,27.45
Alluminio_6061_T6,68372.0,277.5,2.4,20,0.8,1.0,98.46,7.239
Alluminio_6061_T6,66442.1,275.3,3.7,32,2.0,1.5,118.42,8.324
Acciaio_Mite_S235,208431.7,241.4,7.3,60,1.0,1.5,122.55,15.265
Acciaio_Inox_304,189180.3,296.0,6.2,50,3.0,2.0,108.31,15.406
Alluminio_6061_T6,71375.3,278.3,2.1,16,1.0,1.5,107.76,4.773
Acciaio_Inox_304,193065.5,310.5,3.5,24,1.0,1.5,134.56,4.583
Alluminio_6061_T6,69603.3,274.2,7.2,60,4.0,1.5,151.73,7.072
Acciaio_Mite_S235,208597.8,222.9,4.3,32,1.5,3.0,145.31,4.659
Acciaio_Mite_S235,206235.6,241.3,2.2,16,1.0,1.0,108.03,4.767
Acciaio_Inox_304,195504.8,285.6,1.4,12,2.0,1.5,97.74,3.611
Alluminio_6061_T6,68389.7,285.7,4.0,32,3.0,2.0,106.47,9.715
Acciaio_Mite_S235,210648.1,227.8,6.4,50,4.0,3.0,152.89,5.559
Alluminio_5052_H32,70025.5,199.0,2.3,20,1.0,1.5,89.99,8.118
Acciaio_Inox_304,188262.0,300.3,3.3,24,1.0,3.0,85.69,9.468
Alluminio_6061_T6,66753.6,268.4,2.4,20,0.8,2.0,143.19,3.114
Alluminio_5052_H32,72371.4,210.6,6.9,60,1.0,1.5,158.71,5.456
Alluminio_6061_T6,71322.3,270.4,3.8,32,0.8,3.0,106.02,10.267
Acciaio_Inox_304,191522.4,295.4,4.6,40,2.0,1.5,142.28,6.414
Alluminio_6061_T6,68467.6,267.0,3.1,24,2.0,2.0,141.06,3.966
Acciaio_Inox_304,186258.9,299.8,3.7,32,4.0,1.0,155.74,3.249
Acciaio_Mite_S235,213590.3,233.0,3.0,24,0.8,1.0,137.98,4.292
Acciaio_Mite_S235,206577.7,224.4,7.7,60,1.0,1.0,136.51,11.237
Alluminio_6061_T6,70251.2,264.9,2.6,20,1.0,1.5,118.47,5.141
Alluminio_6061_T6,69224.3,296.2,3.4,24,4.0,1.0,135.18,4.139
Alluminio_6061_T6,66639.9,261.8,3.5,24,2.0,3.0,96.3,7.903
Acciaio_Mite_S235,211655.6,248.0,5.4,40,1.0,1.0,148.34,5.448
Acciaio_Mite_S235,205182.3,227.9,4.6,40,3.0,1.5,158.62,3.744
Acciaio_Mite_S235,208126.6,218.0,3.2,24,2.0,1.5,89.27,9.229
Acciaio_Mite_S235,214011.0,246.9,1.7,12,3.0,2.0,117.93,2.459
Alluminio_5052_H32,70015.8,205.7,4.1,32,1.0,3.0,140.08,5.241
Alluminio_6061_T6,67745.9,261.5,5.9,50,3.0,3.0,149.83,6.356
Acciaio_Inox_304,187449.0,278.2,3.8,32,3.0,1.5,126.74,7.005
Alluminio_5052_H32,68335.7,173.8,5.2,40,3.0,3.0,151.6,4.63
Acciaio_Mite_S235,205380.1,258.3,7.6,60,2.0,3.0,80.0,28.73
Acciaio_Inox_304,191667.0,295.4,2.9,24,1.0,2.0,100.78,8.241
Acciaio_Inox_304,195213.3,290.4,1.1,8,3.0,1.5,121.84,1.381
Alluminio_5052_H32,71613.5,177.7,2.1,16,1.0,3.0,144.96,2.279
Acciaio_Inox_304,190020.4,265.5,5.9,50,0.8,2.0,102.11,17.827
Alluminio_5052_H32,70522.2,195.3,5.5,40,2.0,1.5,82.95,18.097
Alluminio_5052_H32,70896.2,184.9,3.3,24,2.0,3.0,105.13,7.15
Alluminio_6061_T6,67568.9,265.7,7.6,60,1.0,1.5,131.81,12.502
Acciaio_Mite_S235,203955.9,235.6,4.3,32,1.5,1.5,107.26,10.017
Alluminio_5052_H32,69945.9,179.0,4.9,40,0.8,1.5,95.19,15.604
Acciaio_Inox_304,199123.7,283.3,5.8,50,1.0,1.0,111.86,15.088
Alluminio_6061_T6,69858.1,292.8,1.1,8,3.0,1.5,131.28,1.405
Alluminio_5052_H32,67709.7,209.7,4.8,40,0.8,1.0,147.59,5.596
Acciaio_Inox_304,191705.3,294.8,4.2,32,3.0,2.0,143.88,4.724
Acciaio_Mite_S235,216686.3,238.2,3.3,24,0.8,1.0,126.03,5.503
Alluminio_5052_H32,67610.3,193.0,1.6,12,2.0,1.5,98.44,3.614
Acciaio_Mite_S235,212858.9,235.3,1.3,10,1.0,2.0,147.97,1.221
Alluminio_5052_H32,68151.2,194.8,2.4,20,3.0,1.5,137.1,3.367
Acciaio_Mite_S235,205334.1,229.7,7.2,60,2.0,1.0,142.66,9.647
Acciaio_Mite_S235,213722.2,216.7,2.2,16,1.0,1.5,130.57,3.12
Acciaio_Mite_S235,212818.7,230.6,3.3,24,1.0,2.0,151.91,2.868
Alluminio_6061_T6,70402.4,317.6,7.5,60,3.0,3.0,89.33,24.836
Alluminio_6061_T6,71240.6,279.5,4.7,40,1.5,3.0,97.48,14.707
Acciaio_Mite_S235,208708.5,227.0,6.9,60,1.5,2.0,120.4,15.511
Alluminio_5052_H32,71618.4,216.2,4.0,32,4.0,1.0,115.66,8.644
Acciaio_Mite_S235,206675.5,243.8,5.4,40,1.5,1.5,144.18,6.074
Alluminio_6061_T6,67969.4,270.7,6.5,50,0.8,3.0,121.12,12.596
Acciaio_Mite_S235,214216.9,226.2,5.7,50,2.0,2.0,111.3,15.093
Acciaio_Mite_S235,204116.8,232.1,5.4,40,0.8,3.0,114.15,11.152
Alluminio_5052_H32,67860.9,178.3,7.2,60,1.0,1.0,150.82,7.349
Acciaio_Mite_S235,209457.7,228.8,6.0,50,3.0,1.0,140.99,8.238
Acciaio_Inox_304,197950.0,292.8,5.1,40,1.5,2.0,85.2,17.621
Alluminio_6061_T6,69558.3,270.8,4.7,40,1.0,1.0,146.11,5.771
Alluminio_6061_T6,67601.5,313.1,7.0,60,0.8,2.0,119.65,15.943
Alluminio_6061_T6,68224.5,276.8,6.2,50,4.0,2.0,156.16,5.062
